,Name,Laptop ID,Price,Date
98,"Lenovo V15 Intel Core i3 10th Gen 15-inch HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Grey/ 1.85 kg), 82C500PXIH",B08BY24TMR,32590,13/11
99,Dell Inspiron 3593 15.6 inch FHD Laptop (10th Gen i5-1035G1/ 8GB/ 1TB + 256 SSD/ NVIDIA 2GB MX230 Graphics/ Win 10 + MS Office/ Silver) D560314WIN9SE,B08GY4JF8X,66760,13/11
100,"HP Pavilion 14-CE1073TX 14-inch Laptop (8th Gen Core i5-8265U/8GB/512GB SSD/Windows 10, Home/2GB NVIDIA GeForce MX150 Graphics), Mineral Silver + Microsoft 365 Personal-One Year Subscription",B08L3S3HFY,56990,13/11
101,"ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 5 4600HS, GTX 1650Ti 4GB GDDR6 Graphics, Gaming Laptop (8GB/1TB SSD/MS Office 2019/Windows 10/Moonlight White/Without Anime Matrix/1.6 Kg), GA401II-HE217TS",B08K9ZFMQ1,86990,13/11
102,"ASUS ZenBook 14 (2020) Intel Core i5-1135G7 11th Gen 14-inch FHD Thin and Light Laptop (8GB RAM/512GB NVMe SSD/Windows 10/MS Office 2019/Intel Iris Xᵉ Graphics/Pine Grey/1.17 kg), UX425EA-BM501TS",B08M4SQ83T,82590,13/11
103,"Acer Aspire 3 AMD Ryzen 3 15.6-inch Full HD 1366 x 768 Display Thin and Light Laptop (4GB Ram/1TB HDD/Window 10, Home/Integrated Graphics/Pure Silver), A315-23",B088CG6812,29466,13/11
104,"Lenovo Yoga C640 10th Gen Intel Core i5 13.3 inch Full HD IPS 2-in-1 Convertible Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Iron Grey/1.35Kg), 81UE0034IN",B083PFZXC4,79990,13/11
105,"Lenovo V14 Intel Core i3 10th Gen 14-inch HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ Win 10 Home/ Grey/ 1.6 kg), 82C4A00NIH",B08DFRKHLL,33450,13/11
106,"HP Pavilion Gaming DK0271TX 15.6-inch 144 Hz Screen Laptop (Core i5-9300H/8GB/512GB SSD/Windows 10 Home/MS Office/4GB NVIDIA GeForce GTX 1650 Graphics), Shadow Black",B08GD72H1H,68990,13/11
107,"ASUS ZenBook 14 (2020) Intel Core i7-1165G7 11th Gen 14-inch FHD Thin and Light Laptop (16GB RAM/512GB NVMe SSD/Windows 10/MS Office 2019/Intel Iris Xᵉ Graphics/Pine Grey/1.17 kg), UX425EA-BM701TS",B08M4SWRR5,96890,13/11
